st_iger,Peter,Nace,Blaž,Gašper,Jernej,Ostali
0,0.0,0.0,0.0,0.0,0.0,0.0
1,30.0,-17.0,9.142857142856883,-4.627906976744271,-102.29411764705947,9.795454545454504
2,60.0,-34.0,18.285714285713766,-9.255813953488541,-204.58823529411893,19.59090909090901
3,90.0,-51.0,27.42857142857065,-13.883720930232812,-306.8823529411784,29.386363636363512
4,120.0,-68.0,36.57142857142753,-18.511627906977083,-409.17647058823786,39.18181818181802
5,150.0,-85.0,45.714285714284415,-23.139534883721353,-511.4705882352973,48.97727272727252
6,180.0,-102.0,54.8571428571413,-27.767441860465624,-613.7647058823568,58.772727272727025
7,210.0,-119.0,63.99999999999818,-32.395348837209895,-716.0588235294163,68.56818181818153
8,240.0,-136.0,73.14285714285506,-37.023255813954165,-818.3529411764757,78.36363636363603
9,270.0,-153.0,82.28571428571195,-41.651162790698436,-920.6470588235352,88.15909090909054
10,300.0,-170.0,91.42857142856883,-46.27906976744271,-1022.9411764705947,97.95454545454504
11,330.0,-161.16666666666788,100.57142857142571,-50.90697674418698,-1125.2352941176541,107.74999999999955
12,360.0,-152.33333333333576,109.7142857142826,-55.53488372093125,-1227.5294117647027,117.54545454545405
13,390.0,-143.50000000000364,118.85714285713948,-60.16279069767188,-1198.948766603411,127.34090909090855
14,420.0,-134.66666666667152,127.99999999999636,-52.16279069767188,-1170.3681214421194,137.13636363636306
15,450.0,-125.8333333333394,137.14285714285325,-44.16279069767188,-1141.7874762808278,146.93181818181756
16,480.0,-117.00000000000728,146.28571428571013,-36.16279069767188,-1113.2068311195362,156.72727272727207
17,510.0,-108.16666666667516,155.428571428567,-28.16279069767188,-1084.6261859582446,166.52272727272657
18,540.0,-99.33333333334303,164.57142857143117,-20.16279069767188,-1056.045540796953,176.31818181818107
19,570.0,-90.50000000001091,160.64285714286052,-12.16279069767188,-1027.4648956356614,186.11363636363558
20,600.0,-81.6666666666788,156.71428571428987,-4.1627906976718805,-998.8842504743698,195.90909090909008
