st_iger,Peter,Nace,Blaž,Gašper,Jernej,Ostali
0,0.0,0.0,0.0,0.0,0.0,0.0
1,-14.349999999998545,21.325000000000728,9.299999999999272,11.04166666666788,2.5749999999970896,6.866666666666561
2,-28.69999999999709,42.650000000001455,18.599999999998545,22.08333333333576,5.149999999994179,13.733333333333121
3,-43.049999999995634,63.97500000000218,27.899999999997817,33.12500000000364,7.724999999991269,20.59999999999968
4,-57.39999999999418,85.30000000000291,37.19999999999709,44.16666666667152,10.299999999988358,27.466666666667834
5,-71.74999999999272,106.62500000000364,46.49999999999636,55.2083333333394,12.874999999985448,42.00000000000114
6,-86.09999999999127,127.95000000000437,55.799999999995634,66.25000000000728,15.450000000098953,56.53333333333444
7,-100.44999999998981,149.2750000000051,65.0999999999949,77.29166666667516,7.250000000101863,71.06666666666774
8,-114.80000000001746,170.60000000000582,74.39999999999418,88.33333333334303,-0.9499999998952262,85.60000000000105
9,-137.42500000001746,191.92500000000655,83.69999999999345,99.37500000001091,-9.149999999892316,100.13333333333435
10,-160.05000000001746,213.24999999997817,92.99999999999272,110.4166666666788,-17.349999999889405,114.66666666666765
11,-182.67500000001746,226.09999999997672,102.30000000000655,121.45833333331757,-25.549999999886495,129.20000000000095
12,-205.30000000001746,238.94999999997526,116.9000000000051,112.00833333331684,-33.749999999883585,143.73333333333426
13,-227.92500000001746,251.7999999999738,131.50000000000364,102.55833333331611,-41.949999999880674,158.26666666666756
14,-250.55000000001746,264.64999999997235,146.10000000000218,93.10833333331539,-50.149999999877764,172.80000000000086
15,-273.17500000001746,277.4999999999709,160.70000000000073,83.65833333331466,-58.34999999987485,187.33333333333417
16,-295.80000000001746,290.34999999996944,175.29999999999927,74.20833333331393,-66.54999999987194,201.86666666666747
17,-318.42500000001746,303.199999999968,189.89999999999782,64.7583333333132,-74.74999999986903,216.40000000000077
18,-341.05000000001746,316.04999999996653,204.49999999999636,55.308333333312476,-82.94999999986612,230.93333333333408
19,-363.67500000001746,328.8999999999651,219.0999999999949,45.85833333331175,-91.14999999986321,245.46666666666783
20,-386.30000000001746,341.7499999999636,233.69999999999345,36.40833333331102,-99.3499999998603,254.8000000000011
21,-408.92500000001746,354.59999999996217,248.299999999992,26.958333333310293,-107.54999999985739,264.13333333333435
22,-431.55000000001746,367.4499999999607,262.89999999999054,17.508333333309565,-115.74999999985448,273.4666666666676
23,-454.17500000001746,380.29999999995925,277.4999999999891,8.058333333308838,-123.94999999985157,282.80000000000086
24,-476.80000000001746,393.1499999999578,292.09999999998763,-1.39166666669189,-132.14999999984866,292.1333333333341
25,-499.42500000001746,405.99999999995634,306.6999999999862,-10.841666666692618,-140.34999999984575,301.4666666666674
26,-522.0500000000175,418.8499999999549,321.2999999999847,-20.291666666693345,-148.54999999984284,310.80000000000064
27,-544.6750000000175,431.69999999995343,335.89999999998327,-29.741666666694073,-156.74999999983993,320.1333333333339
28,-567.3000000000175,444.549999999952,350.4999999999818,-39.1916666666948,-164.94999999983702,329.46666666666715
29,-589.9250000000175,457.3999999999505,365.09999999998035,-48.64166666669553,-173.1499999998341,338.8000000000004
30,-612.5500000000175,470.2499999999782,379.6999999999789,-58.091666666696256,-181.3499999998312,348.13333333333367
31,-635.1750000000175,480.8999999999796,394.30000000000655,-67.54166666668243,-189.54999999990105,357.4666666666669
32,-657.8000000000175,491.5499999999811,419.2600000000057,-84.87500000001455,-200.2583333332368,366.8000000000002
33,-680.4250000000175,502.19999999998254,444.2200000000048,-102.20833333334667,-210.96666666657256,376.13333333333344
34,-703.0500000000175,512.849999999984,469.18000000000393,-119.5416666666788,-221.67499999990832,385.46666666666783
35,-725.6750000000175,523.4999999999854,494.14000000000306,-136.8750000000109,-232.38333333324408,401.0166666666678
36,-748.3000000000175,534.1499999999869,519.1000000000022,-154.20833333334303,-243.09166666657984,416.56666666666774
37,-770.9250000000175,544.7999999999884,544.0600000000013,-171.54166666667516,-253.7999999999156,432.1166666666677
38,-793.5500000000175,555.4499999999898,569.0200000000004,-188.87500000000728,-264.50833333325136,447.66666666666765
39,-816.1750000000175,566.0999999999913,593.9799999999996,-206.2083333333394,-275.2166666665871,463.21666666666783
40,-838.8000000000175,576.7499999999927,618.9399999999987,-223.54166666667152,-285.9249999999229,478.766666666668
41,-861.4250000000175,587.3999999999942,643.8999999999978,-240.87500000000364,-296.63333333325863,494.3166666666682
42,-884.0500000000175,598.0499999999956,668.859999999997,-258.20833333333576,-307.3416666665944,509.8666666666684
43,-906.6750000000175,608.6999999999971,693.8199999999961,-275.5416666666679,-318.04999999993015,525.4166666666686
44,-929.3000000000175,619.3499999999985,718.7799999999952,-292.875,-328.7583333332659,540.9666666666687
45,-951.9250000000175,630.0,743.7399999999943,-310.2083333333321,-339.46666666660167,556.5166666666689
46,-974.5500000000175,640.6500000000015,768.6999999999935,-327.54166666666424,-350.1749999999374,572.0666666666691
47,-997.1750000000175,651.3000000000029,793.6599999999926,-344.87499999999636,-360.8833333332732,587.6166666666693
48,-1019.8000000000175,661.9500000000044,818.6199999999917,-362.2083333333285,-371.59166666660894,603.1666666666695
49,-984.3600000000188,672.6000000000058,843.5799999999908,-379.5416666666606,-382.2999999999447,618.7166666666697
50,-948.9200000000201,683.2499999999782,868.53999999999,-396.8749999999927,-393.00833333328046,634.2666666666698
51,-913.4800000000214,707.7999999999774,893.4999999999891,-414.20833333332484,-403.7166666666162,649.81666666667
52,-878.0400000000227,732.3499999999767,918.4599999999882,-431.54166666665697,-414.424999999952,665.3666666666702
53,-842.600000000024,756.899999999976,943.4199999999873,-448.8749999999891,-425.13333333328774,680.9166666666704
54,-807.1600000000253,781.4499999999753,968.3799999999865,-466.2083333333212,-435.8416666666235,696.4666666666678
55,-771.7200000000266,805.9999999999745,993.3399999999856,-483.54166666668243,-446.54999999990105,702.3000000000013
