Peter,Nace,Blaž,Gašper,Jernej,Ostali,st_iger
1.0,2.0,4.0,3.0,,,40.0
2.0,,4.0,1.0,3.0,,21.0
2.0,,4.0,1.0,3.0,,12.0
1.0,3.0,,2.0,4.0,,20.0
2.0,,3.0,4.0,1.0,,20.0
2.0,4.0,,1.0,3.0,,27.0
,2.0,4.0,3.0,1.0,,40.0
2.0,4.0,1.0,,3.0,,16.0
3.0,1.0,,2.0,,4.0,23.0
3.0,2.0,,4.0,1.0,,14.0
4.0,2.0,,1.0,,3.0,31.0
4.0,3.0,2.0,,1.0,,10.0
1.0,3.0,2.0,,4.0,,30.0
4.0,1.0,,2.0,3.0,,35.0
,3.0,4.0,1.0,2.0,,36.0
3.0,4.0,,,1.0,2.0,19.0
,4.0,1.0,2.0,3.0,,32.0
2.0,1.0,3.0,,4.0,,12.0
1.0,,2.0,4.0,3.0,,44.0
1.0,3.0,,4.0,2.0,,43.0
4.0,1.0,,3.0,2.0,,19.0
4.0,3.0,1.0,,2.0,,24.0
4.0,,,3.0,1.0,2.0,43.0
1.0,3.0,,2.0,4.0,,42.0
2.0,4.0,3.0,,1.0,,43.0
2.0,,4.0,3.0,1.0,,43.0
,1.0,2.0,4.0,3.0,,43.0
,4.0,2.0,1.0,3.0,,44.0
4.0,,2.0,1.0,3.0,,20.0
,1.0,3.0,2.0,,4.0,27.0
1.0,2.0,,,3.0,4.0,23.0
1.0,3.0,,2.0,4.0,,44.0
,3.0,,4.0,2.0,1.0,42.0
1.0,,,3.0,2.0,4.0,44.0
1.0,3.0,4.0,,2.0,,44.0
,1.0,2.0,,3.0,4.0,42.0
1.0,,2.0,,3.0,4.0,42.0
2.0,,3.0,,1.0,4.0,42.0
2.0,1.0,,4.0,3.0,,42.0
,2.0,4.0,3.0,1.0,,28.0
1.0,4.0,3.0,,2.0,,14.0
,3.0,2.0,1.0,4.0,,12.0
1.0,3.0,4.0,,2.0,,31.0
,2.0,1.0,3.0,4.0,,17.0
1.0,,4.0,3.0,2.0,,31.0
1.0,,,4.0,2.0,3.0,43.0
,2.0,3.0,4.0,1.0,,40.0
3.0,2.0,4.0,,,1.0,16.0
2.0,,4.0,1.0,,3.0,41.0
2.0,4.0,3.0,1.0,,,28.0
2.0,,,4.0,1.0,3.0,15.0
3.0,1.0,4.0,,2.0,,28.0
2.0,1.0,3.0,,,4.0,28.0
2.0,1.0,,4.0,3.0,,12.0
2.0,4.0,1.0,,,3.0,15.0
3.0,1.0,,4.0,2.0,,21.0
2.0,,3.0,1.0,4.0,,30.0
,4.0,2.0,1.0,,3.0,24.0
1.0,2.0,3.0,4.0,,,20.0
2.0,1.0,4.0,,3.0,,25.0
3.0,,1.0,,2.0,4.0,30.0
3.0,4.0,,2.0,1.0,,15.0
3.0,2.0,4.0,1.0,,,28.0
1.0,4.0,,2.0,,3.0,15.0
3.0,,,1.0,4.0,2.0,19.0
4.0,,,2.0,1.0,3.0,40.0
2.0,4.0,,,1.0,3.0,15.0
4.0,2.0,,,1.0,3.0,15.0
2.0,,4.0,3.0,1.0,,19.0
,2.0,1.0,,3.0,4.0,15.0
4.0,3.0,,1.0,,2.0,15.0
4.0,,1.0,2.0,3.0,,20.0
2.0,,,3.0,1.0,4.0,15.0
4.0,1.0,,2.0,3.0,,15.0
1.0,4.0,,3.0,2.0,,30.0
1.0,2.0,,4.0,3.0,,25.0
4.0,2.0,,1.0,3.0,,15.0
1.0,2.0,,4.0,,3.0,20.0
4.0,3.0,1.0,2.0,,,15.0
1.0,,3.0,2.0,4.0,,18.0
4.0,2.0,1.0,,3.0,,16.0
3.0,,4.0,2.0,1.0,,24.0
3.0,1.0,,,2.0,4.0,24.0
1.0,3.0,,2.0,4.0,,16.0
3.0,2.0,,1.0,4.0,,20.0
1.0,2.0,3.0,4.0,,,16.0
4.0,,,2.0,3.0,1.0,24.0
4.0,,,1.0,3.0,2.0,16.0
1.0,3.0,,2.0,4.0,,16.0
,3.0,1.0,2.0,4.0,,20.0
2.0,3.0,1.0,,4.0,,25.0
2.0,4.0,1.0,3.0,,,20.0
4.0,,3.0,2.0,1.0,,24.0
1.0,,2.0,,4.0,3.0,16.0
4.0,,2.0,3.0,1.0,,20.0
4.0,2.0,1.0,,3.0,,40.0
3.0,,1.0,4.0,2.0,,24.0
2.0,3.0,4.0,,1.0,,20.0
4.0,3.0,2.0,,,1.0,20.0
4.0,1.0,,2.0,3.0,,40.0
1.0,3.0,2.0,,4.0,,25.0
,3.0,2.0,,4.0,1.0,24.0
3.0,,4.0,,2.0,1.0,22.0
2.0,1.0,,3.0,4.0,,25.0
,4.0,2.0,3.0,1.0,,18.0
1.0,2.0,3.0,,4.0,,18.0
3.0,,2.0,1.0,4.0,,13.0
1.0,,4.0,3.0,2.0,,24.0
2.0,,3.0,4.0,1.0,,25.0
,2.0,1.0,3.0,4.0,,20.0
,2.0,3.0,1.0,4.0,,16.0
2.0,,3.0,,4.0,1.0,24.0
4.0,,2.0,1.0,3.0,,16.0
3.0,1.0,4.0,,2.0,,16.0
4.0,2.0,,,3.0,1.0,20.0
